Title,Body,Tags,Id,Score,ViewCount,FavoriteCount,AnswerCount
"Calculate relative time in C#","<p>Given a specific <code>DateTime</code> value, how do I display relative time, like:</p>
<ul>
<li><code>2 hours ago</code></li>
<li><code>3 days ago</code></li>
<li><code>a month ago</code></li>
</ul>
","<c#><datetime><time><datediff><relative-time-span>","11","1655","205591","","42"
"Message ""Support for password authentication was removed.""","<p>I got this error on my console when I tried to use <code>git pull</code>:</p>
<blockquote>
<p>remote: Support for password authentication was removed on August 13, 2021.<br />
remote: Please see <a href=""https://docs.github.com/en/get-started/getting-started-with-git/about-remote-repositories#cloning-with-https-urls"" rel=""noreferrer"">https://docs.github.com/en/get-started/getting-started-with-git/about-remote-repositories#cloning-with-https-urls</a> for information on currently recommended modes of authentication.<br />
fatal: Authentication failed for ...</p>
</blockquote>
<p>It's very weird, because I just followed the documentation and created a token two weeks ago on GitHub. The token expires on Tue, Oct 26, 2021. Why has this been removed today?</p>
","<git><github><github-api><git-pull><personal-access-token>","68775869","1809","2439560","","53"
"How to get first N number of elements from an array","<p>I am working with Javascript(ES6) /FaceBook react and trying to get the first 3 elements of an array that varies in size. I would like do the equivalent of Linq take(n).</p>
<p>In my Jsx file I have  the following:</p>
<pre><code>var items = list.map(i =&gt; {
  return (
    &lt;myview item={i} key={i.id} /&gt;
  );
});
</code></pre>
<p>Then to get the first 3 items I tried</p>
<pre><code>  var map = new Map(list);
    map.size = 3;
    var items = map(i =&gt; {
      return (&lt;SpotlightLandingGlobalInboxItem item={i} key={i.id} /&gt;);
    });
</code></pre>
<p>This didn't work as map doesn't have a set function. What can I try next?</p>
","<javascript><arrays><filtering><slice><extract>","34883068","1206","1420494","","13"
"Git is not working after macOS update (""xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools"")","<p>I updated to the latest OS, and/or restarted my computer (this happens on every major update, but this time all I did was restart my computer on 2022-09-13).</p>
<p>This morning I navigated to my work's codebase in the command line on my <a href=""https://en.wikipedia.org/wiki/MacBook_Pro"" rel=""noreferrer"">MacBook Pro</a>, typed in &quot;git status&quot; in the repository and received an error:</p>
<p>(In 9/2022, this error was much different, but I didn't capture it)</p>
<blockquote>
<p>xcrun: error: invalid active developer path (/Library/Developer/CommandLineTools), missing xcrun at: /Library/Developer/CommandLineTools/usr/bin/xcrun</p>
</blockquote>
<p>Git will not work!</p>
<p>How do I fix Git, and the command-line tools?</p>
","<xcode><git><macos><command-line><terminal>","52522565","3509","1500843","","41"
"How do I copy a folder from remote to local using scp?","<p>How do I copy a folder from remote to local host using <code>scp</code>?</p>
<p>I use <code>ssh</code> to log in to my server.<br />
Then, I would like to copy the remote folder <code>foo</code> to local <code>/home/user/Desktop</code>.</p>
<p>How do I achieve this?</p>
","<shell><ssh><command-line><copy><scp>","11304895","3573","3778083","","17"
"How can I deal with this Git warning? ""Pulling without specifying how to reconcile divergent branches is discouraged""","<p>After a <code>git pull origin master</code>, I get the following message:</p>
<pre><code>warning: Pulling without specifying how to reconcile divergent branches is
discouraged. You can squelch this message by running one of the following
commands sometime before your next pull:

  git config pull.rebase false  # merge (the default strategy)
  git config pull.rebase true   # rebase
  git config pull.ff only       # fast-forward only

You can replace &quot;git config&quot; with &quot;git config --global&quot; to set a default
preference for all repositories. You can also pass --rebase, --no-rebase,
or --ff-only on the command line to override the configured default per
invocation.

remote: Enumerating objects: 4, done.
remote: Counting objects: 100% (4/4), done.
remote: Compressing objects: 100% (4/4), done.
remote: Total 4 (delta 0), reused 0 (delta 0), pack-reused 0
Unpacking objects: 100% (4/4), 51.49 KiB | 850.00 KiB/s, done.
</code></pre>
<p>The pull seems successful, but I am unsure.</p>
<p>What can I do to fix this?</p>
","<git><git-merge><git-pull><git-config><fast-forward>","62653114","1411","1927791","","35"
"Format JavaScript date as yyyy-mm-dd","<p>I have a date with the format <code>Sun May 11,2014</code>. How can I convert it to <code>2014-05-11</code> using JavaScript?</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>function taskDate(dateMilli) {
    var d = (new Date(dateMilli) + '').split(' ');
    d[2] = d[2] + ',';

    return [d[0], d[1], d[2], d[3]].join(' ');
}

var datemilli = Date.parse('Sun May 11,2014');
console.log(taskDate(datemilli));</code></pre>
</div>
</div>
</p>

<p>The code above gives me the same date format, <code>sun may 11,2014</code>. How can I fix this?</p>
","<javascript><date><formatting><datetime-format><date-format>","23593052","1249","3169405","","56"
"The definitive guide to form-based website authentication","<blockquote>
<h4>Moderator note:</h4>
<p>This question is not a good fit for our question and answer format with the <a href=""/help/on-topic"">topicality rules</a> which currently apply for Stack Overflow. We normally use a &quot;historical lock&quot; for such questions where the content still has value. However, the answers on this question are actively maintained and a historical lock doesn't permit editing of the answers. As such, a &quot;wiki answer&quot; lock has been applied to allow the answers to be edited. You should assume the topicality issues which are normally handled by a historical lock are present (i.e. this question not a good example of an on-topic question for Stack Overflow).</p>
</blockquote>
<h2>Form-based authentication for websites</h2>
<p>We believe that Stack Overflow should not just be a resource for very specific technical questions, but also for general guidelines on how to solve variations on common problems. &quot;Form based authentication for websites&quot; should be a fine topic for such an experiment.</p>
<h3>It should include topics such as:</h3>
<ul>
<li>How to log in</li>
<li>How to log out</li>
<li>How to remain logged in</li>
<li>Managing cookies (including recommended settings)</li>
<li>SSL/HTTPS encryption</li>
<li>How to store passwords</li>
<li>Using secret questions</li>
<li>Forgotten username/password functionality</li>
<li>Use of <a href=""https://en.wikipedia.org/wiki/Cryptographic_nonce"" rel=""nofollow noreferrer"">nonces</a> to prevent <a href=""https://en.wikipedia.org/wiki/Cross-site_request_forgery"" rel=""nofollow noreferrer"">cross-site request forgeries (CSRF)</a></li>
<li><a href=""http://openid.net/"" rel=""nofollow noreferrer"">OpenID</a></li>
<li>&quot;Remember me&quot; checkbox</li>
<li>Browser autocompletion of usernames and passwords</li>
<li>Secret URLs (public <a href=""https://en.wikipedia.org/wiki/Uniform_Resource_Locator"" rel=""nofollow noreferrer"">URL</a> protected by digest)</li>
<li>Checking password strength</li>
<li>E-mail validation</li>
<li><em>and much more about</em> <a href=""http://en.wikipedia.org/wiki/Form-based_authentication"" rel=""nofollow noreferrer"">form based authentication</a>...</li>
</ul>
<h3>It should not include things like:</h3>
<ul>
<li>Roles and authorization</li>
<li>HTTP basic authentication</li>
</ul>
<h3>Please help us by:</h3>
<ol>
<li>Suggesting subtopics</li>
<li>Submitting good articles about this subject</li>
<li>Editing the official answer</li>
</ol>
","<forms><http><security><authentication><language-agnostic>","549","5510","698050","","11"
"Angular: conditional class with *ngClass","<p>What is wrong with my Angular code? I am getting the following error:</p>
<blockquote>
<p>Cannot read property 'remove' of undefined at BrowserDomAdapter.removeClass</p>
</blockquote>
<pre class=""lang-html prettyprint-override""><code>&lt;ol&gt;
  &lt;li *ngClass=&quot;{active: step==='step1'}&quot; (click)=&quot;step='step1'&quot;&gt;Step1&lt;/li&gt;
  &lt;li *ngClass=&quot;{active: step==='step2'}&quot; (click)=&quot;step='step2'&quot;&gt;Step2&lt;/li&gt;
  &lt;li *ngClass=&quot;{active: step==='step3'}&quot; (click)=&quot;step='step3'&quot;&gt;Step3&lt;/li&gt;
&lt;/ol&gt;
</code></pre>
","<javascript><css><angular><angular-template><angular-ng-class>","35269179","1241","2302648","","26"
"Renaming column names in Pandas","<p>I want to change the column labels of a Pandas DataFrame from</p>
<pre><code>['$a', '$b', '$c', '$d', '$e']
</code></pre>
<p>to</p>
<pre><code>['a', 'b', 'c', 'd', 'e']
</code></pre>
","<python><pandas><replace><dataframe><rename>","11346283","3058","6919751","","33"
