question_id,title,body,tags,creation_date,score,view_count,answer_count,is_answered
11227809,Why is processing a sorted array faster than processing an unsorted array?,"<p>In this C++ code, sorting the data (<em>before</em> the timed region) makes the primary loop ~6x faster:</p>
<pre class=""lang-cpp prettyprint-override""><code>#include &lt;algorithm&gt;
#include &lt;ctime&gt;
#include &lt;iostream&gt;

int main()
{
    // Generate data
    const unsigned arraySize = 32768;
    int data[arraySize];

    for (unsigned c = 0; c &lt; arraySize; ++c)
        data[c] = std::rand() % 256;

    // !!! With this, the next loop runs faster.
    std::sort(data, data + arraySize);

    // Test
    clock_t start = clock();
    long long sum = 0;
    for (unsigned i = 0; i &lt; 100000; ++i)
    {
        for (unsigned c = 0; c &lt; arraySize; ++c)
        {   // Primary loop.
            if (data[c] &gt;= 128)
                sum += data[c];
        }
    }

    double elapsedTime = static_cast&lt;double&gt;(clock()-start) / CLOCKS_PER_SEC;

    std::cout &lt;&lt; elapsedTime &lt;&lt; '\n';
    std::cout &lt;&lt; &quot;sum = &quot; &lt;&lt; sum &lt;&lt; '\n';
}
</code></pre>
<ul>
<li>Without <code>std::sort(data, data + arraySize);</code>, the code runs in 11.54 seconds.</li>
<li>With the sorted data, the code runs in 1.93 seconds.</li>
</ul>
<p>(Sorting itself takes more time than this one pass over the array, so it's not actually worth doing if we needed to calculate this for an unknown array.)</p>
<hr />
<p>Initially, I thought this might be just a language or compiler anomaly, so I tried Java:</p>
<pre class=""lang-java prettyprint-override""><code>import java.util.Arrays;
import java.util.Random;

public class Main
{
    public static void main(String[] args)
    {
        // Generate data
        int arraySize = 32768;
        int data[] = new int[arraySize];

        Random rnd = new Random(0);
        for (int c = 0; c &lt; arraySize; ++c)
            data[c] = rnd.nextInt() % 256;

        // !!! With this, the next loop runs faster
        Arrays.sort(data);

        // Test
        long start = System.nanoTime();
        long sum = 0;
        for (int i = 0; i &lt; 100000; ++i)
        {
            for (int c = 0; c &lt; arraySize; ++c)
            {   // Primary loop.
                if (data[c] &gt;= 128)
                    sum += data[c];
            }
        }

        System.out.println((System.nanoTime() - start) / 1000000000.0);
        System.out.println(&quot;sum = &quot; + sum);
    }
}
</code></pre>
<p>With a similar but less extreme result.</p>
<hr />
<p>My first thought was that sorting brings the data into the <a href=""https://en.wikipedia.org/wiki/CPU_cache"" rel=""noreferrer"">cache</a>, but that's silly because the array was just generated.</p>
<ul>
<li>What is going on?</li>
<li>Why is processing a sorted array faster than processing an unsorted array?</li>
</ul>
<p>The code is summing up some independent terms, so the order should not matter.</p>
<hr />
<h2>Related / follow-up Q&amp;As with more modern C++ compilers</h2>
<ul>
<li><a href=""https://stackoverflow.com/q/66521344"">Why is processing an unsorted array the same speed as processing a sorted array with modern x86-64 clang?</a> - <strong>modern C++ compilers auto-vectorize the loop</strong>, especially when SSE4.1 or AVX2 is available.  This avoids any data-dependent branching so performance isn't data-dependent.</li>
<li><a href=""https://stackoverflow.com/q/28875325"">gcc optimization flag -O3 makes code slower than -O2</a> - branchless scalar with <code>cmov</code> can result in a longer dependency chain (especially when GCC chooses poorly), creating a latency bottleneck that makes it slower than branchy asm for the sorted case.</li>
</ul>
","['java', 'c++', 'performance', 'cpu-architecture', 'branch-prediction']",1340805096,27457,1941240,25,True
927358,How do I undo the most recent local commits in Git?,"<p>I accidentally committed the wrong files to <a href=""https://en.wikipedia.org/wiki/Git"" rel=""noreferrer"">Git</a> but haven't pushed the commit to the server yet.</p>
<p>How do I undo those commits from the <em>local</em> repository?</p>
","['git', 'version-control', 'git-commit', 'undo']",1243620554,27061,16139015,103,True
2003505,How do I delete a Git branch locally and remotely?,"<p>Failed Attempts to Delete a Remote Branch:</p>
<pre class=""lang-bash prettyprint-override""><code>$ git branch -d remotes/origin/bugfix
error: branch 'remotes/origin/bugfix' not found.

$ git branch -d origin/bugfix
error: branch 'origin/bugfix' not found.

$ git branch -rd origin/bugfix
Deleted remote branch origin/bugfix (was 2a14ef7).

$ git push
Everything up-to-date

$ git pull
From github.com:gituser/gitproject

* [new branch] bugfix -&gt; origin/bugfix
Already up-to-date.
</code></pre>
<p>How do I properly delete the <code>remotes/origin/bugfix</code> branch both locally and remotely?</p>
","['git', 'version-control', 'git-branch', 'git-push', 'git-remote']",1262653935,20365,12869902,41,True
292357,What is the difference between &#39;git pull&#39; and &#39;git fetch&#39;?,"<p>What are the differences between <a href=""https://git-scm.com/docs/git-pull"" rel=""noreferrer""><code>git pull</code></a> and <a href=""https://git-scm.com/docs/git-fetch"" rel=""noreferrer""><code>git fetch</code></a>?</p>
","['git', 'version-control', 'git-pull', 'git-fetch']",1226742669,13995,3674790,37,True
231767,What does the &quot;yield&quot; keyword do in Python?,"<p>What functionality does the <a href=""https://docs.python.org/3/reference/simple_stmts.html#yield"" rel=""noreferrer""><code>yield</code></a> keyword in Python provide?</p>
<p>For example, I'm trying to understand this code<sup><strong>1</strong></sup>:</p>
<pre><code>def _get_child_candidates(self, distance, min_dist, max_dist):
    if self._leftchild and distance - max_dist &lt; self._median:
        yield self._leftchild
    if self._rightchild and distance + max_dist &gt;= self._median:
        yield self._rightchild  
</code></pre>
<p>And this is the caller:</p>
<pre><code>result, candidates = [], [self]
while candidates:
    node = candidates.pop()
    distance = node._get_dist(obj)
    if distance &lt;= max_dist and distance &gt;= min_dist:
        result.extend(node._values)
    candidates.extend(node._get_child_candidates(distance, min_dist, max_dist))
return result
</code></pre>
<p>What happens when the method <code>_get_child_candidates</code> is called?
Is a list returned? A single element? Is it called again? When will subsequent calls stop?</p>

<hr />
<sub>
1. This piece of code was written by Jochen Schulz (jrschulz), who made a great Python library for metric spaces. This is the link to the complete source: <a href=""https://well-adjusted.de/~jrspieker/mspace/"" rel=""noreferrer"">Module mspace</a>.</sub> 
","['python', 'iterator', 'generator', 'yield']",1224800471,13086,3450087,52,True
5767325,How can I remove a specific item from an array in JavaScript?,"<p>How do I remove a specific value from an array? Something like:</p>
<pre class=""lang-js prettyprint-override""><code>array.remove(value);
</code></pre>
<p>Constraints: I have to use <strong>core</strong> JavaScript. Frameworks are not allowed.</p>
","['javascript', 'arrays']",1303597038,12198,13419218,50,True
6591213,How can I rename a local Git branch?,"<p>How can I rename a local branch which has not yet been pushed to a remote repository?</p>
<p>Related:</p>
<ul>
<li><a href=""https://stackoverflow.com/questions/1526794/rename-master-branch-for-both-local-and-remote-git-repositories?answertab=votes#tab-top"">Rename master branch for both local and remote Git repositories</a></li>
<li><a href=""https://stackoverflow.com/questions/30590083/how-to-rename-a-remote-git-branch-name/30590238#30590238"">How do I rename both a Git local and remote branch name?</a></li>
</ul>
","['git', 'version-control', 'git-branch']",1309922436,11936,6101932,41,True
477816,Which JSON content type do I use?,"<p>There are many &quot;standards&quot; for the <a href=""http://en.wikipedia.org/wiki/JSON"" rel=""noreferrer"">JSON</a> content type:</p>
<pre class=""lang-none prettyprint-override""><code>application/json
application/x-javascript
text/javascript
text/x-javascript
text/x-json
</code></pre>
<p>Which one do I use, and where? I assume security and browser support issues are a factor.</p>
<p>Related: <a href=""https://stackoverflow.com/questions/404470/what-mime-type-if-json-is-being-returned-by-a-rest-api"">What MIME type if JSON is being returned by a REST API?</a></p>
","['json', 'mime-types', 'content-type']",1232897119,11644,3996248,40,True
348170,How do I undo &#39;git add&#39; before commit?,"<p>I mistakenly added files to Git using the command:</p>
<pre><code>git add myfile.txt
</code></pre>
<p>I have not yet run <code>git commit</code>. How do I undo this so that these changes will not be included in the commit?</p>
","['git', 'git-commit', 'undo', 'git-add']",1228687066,11555,6163227,39,True
1642028,What is the &#39;--&gt;&#39; operator in C/C++?,"<p>After reading <a href=""http://groups.google.com/group/comp.lang.c++.moderated/msg/33f173780d58dd20"" rel=""noreferrer"">Hidden Features and Dark Corners of C++/STL</a> on <code>comp.lang.c++.moderated</code>, I was completely surprised that the following snippet compiled and worked in both Visual Studio 2008 and G++ 4.4. I would assume this is also valid C since it works in GCC as well.</p>
<p>Here's the code:</p>
<pre><code>#include &lt;stdio.h&gt;
int main()
{
    int x = 10;
    while (x --&gt; 0) // x goes to 0
    {
        printf(&quot;%d &quot;, x);
    }
}
</code></pre>
<p>Output:</p>
<pre><code>9 8 7 6 5 4 3 2 1 0
</code></pre>
<p>Where is this defined in the standard, and where has it come from?</p>
","['c++', 'c', 'operators', 'code-formatting', 'standards-compliance']",1256799465,10233,1035545,26,True
1125968,How do I force &quot;git pull&quot; to overwrite local files?,"<p>How do I force an overwrite of local files on a <code>git pull</code>? My local repository contains a file of the same filename as on the server.</p>
<blockquote>
<p>error: Untracked working tree file 'example.txt' would be overwritten by merge</p>
</blockquote>
","['git', 'version-control', 'overwrite', 'git-pull', 'git-fetch']",1247583495,9901,9293810,55,True
244777,Can comments be used in JSON?,"<p>Can I use comments inside a <a href=""https://en.wikipedia.org/wiki/JSON"" rel=""noreferrer"">JSON</a> file? If so, how?</p>
","['json', 'comments']",1225226343,9732,3921574,63,True
79923,What and where are the stack and heap?,"<ul>
<li>What are the stack and heap?</li>
<li>Where are they located physically in a computer's memory?</li>
<li>To what extent are they controlled by the OS or language run-time?</li>
<li>What is their scope?</li>
<li>What determines their sizes?</li>
<li>What makes one faster?</li>
</ul>
","['data-structures', 'memory-management', 'heap-memory', 'dynamic-memory-allocation', 'stack-memory']",1221625086,9539,2008563,30,True
